No,model_number_sku,housing_style,wall_mount,ceiling_mount_single_unit,pole_mount,corner_mount,in-ceiling_mount,parapet_mount,junction_box,dual_junction_box,Adapter and others
54,AVC-NPV81F28,Vandal Dome,"AVM-CWM-EV-S2, AVM-HWM-V-S1",AVM-HCM-V-S1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-S1,,AVM-JB-V-S1,AVM-JB-DUAL-US1,
55,AVC-NPV51M,Vandal Dome,"AVM-HWM-V-L1, AVM-CWM-EDV-L1",AVM-HCM-V-L1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-L1,,AVM-JB-V-L1,AVM-JB-DUAL-UL1,AVM-WS-V-L1
56,AVC-NPV81M,Vandal Dome,"AVM-CWM-EDV-L1, AVM-HWM-V-L1",AVM-HCM-V-L1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-L1,,AVM-JB-V-L1,AVM-JB-DUAL-UL1,AVM-WS-V-L1
57,AVC-NPD51F28,Indoor Dome,,,,,,,,,
58,AVC-NPD81F28,Indoor Dome,,,,,,,,,
59,AVC-NPD51M,Indoor Dome,AVM-CWM-EDV-L1,,,,,,,,
60,AVC-NPD81M,Indoor Dome,AVM-CWM-EDV-L1,,,,,,,,
61,AVC-NPK51F28,Indoor Dome,,,,,,,,,
62,AVC-NPK81F28,Indoor Dome,,,,,,,,,
63,AVC-NKE51F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",AVM-JB-DUAL-US1,
64,AVC-NSE81F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",AVM-JB-DUAL-US1,
65,AVC-NSE81F28-B,Turret,AVM-CWM-EV-S1-B,,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S1-B,,
66,AVC-NKE81F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",AVM-JB-DUAL-US1,
67,AVC-NSE81F36,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S2,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",AVM-JB-DUAL-US1,
68,AVC-NKE51M,Turret,"AVM-CWM-EDV-L1, AVM-HWM-E-L1",AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-L1,AVM-JB-DUAL-UL1,
